Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Inside Sales Representative,Pearson,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",We are seeking a highly motivated Inside Sales Support Representative to join our tea...,"Outbound, Administration, Lead generation, Networking, MS Office, Order processing, Sales Support Representative, Sales support",https://www.naukri.com/job-listings-inside-sales-representative-pearson-india-education-services-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-270424500848
Inside Sales Representative,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","You must be comfortable making dozens of calls per day, working with channel partners, ...","Customer acquisition, Outbound, Social media, network services, Sales Executive, Inside sales, Inside Sales Representative, Operations",https://www.naukri.com/job-listings-inside-sales-representative-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-290424500027
Manager Indirect Taxation,Abbott,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Minimum Education Minimum Experience / Training Required . Minimum 5 years of experienc...,"SAP, Manager Indirect Taxation, Litigation management, Appeals, Litigation matters, Business advisory, Taxation, Indirect taxation",https://www.naukri.com/job-listings-manager-indirect-taxation-abbott-healthcare-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-270424500955
Repair Technician,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Vocation training / qualifications required,"Training, Technical Administrator, Standard operating procedures, Packaging, Manufacturing operations, Machinery, Operations, Monitoring",https://www.naukri.com/job-listings-repair-technician-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-3-years-270424500935
Personalized Internet Assessor India - Kannada Language,TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requirements . Proficiency in both written and verbal English & Kannada Experience in n...,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-india-kannada-language-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-270424500915
Personalized Internet Assessor India - Gujarati Language,TELUS International,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requirements . Proficiency in both written and verbal English & Gujarati Experience in ...,"BPO, Manager Quality Assurance, Social media, Machine learning, Agile, HTTP, Customer service, Consumer electronics",https://www.naukri.com/job-listings-personalized-internet-assessor-india-language-telus-international-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-270424500914
Test Lead,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Electronics, Computer Science, Computer Engineering or a software ...","TCP, Computer science, VMware, Linux, Test strategy, Bloomberg, SCTP, Signalling",https://www.naukri.com/job-listings-test-lead-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-270424500637
Engineering Manager,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Electronics, Computer Science, Computer Engineering or a software ...","TCP, Computer science, VMware, Linux, Agile, Telecommunication, JSON, JIRA",https://www.naukri.com/job-listings-engineering-manager-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-270424500622
Senior IP Solution Architect,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Contribute to and support the Architecture, Technical Scope of Work (SOW) and Solutio...","Unix, Telecom, VMware, Linux, Project management, Presales, Perl, Technical support",https://www.naukri.com/job-listings-senior-ip-solution-architect-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-12-to-13-years-270424500601
Software Quality Manager,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s or Master s degree in computer science, computer engineering or equivalent c...","Computer science, Manager Quality Assurance, Testing tools, TDD, Agile, test driven development, Selenium, software quality",https://www.naukri.com/job-listings-software-quality-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-270424500266
SIEM Admin,Atos,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". Good knowledge of SIEM, SIEM Architecture, SIEM health check . Good verbal / written ...","Unix, Basic, Change management, SOC, OEM, SIEM, Windows, Troubleshooting",https://www.naukri.com/job-listings-siem-admin-atos-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-270424500110
Senior Engineer II,AMERICAN EXPRESS,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Computer Science, Computer Engineering, Statistics or related fiel...","Computer science, Automation, GIT, Image processing, Finance, Machine learning, Agile, JIRA",https://www.naukri.com/job-listings-senior-engineer-ii-american-express-company-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-270424500073
Engineer I,AMERICAN EXPRESS,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Computer Science, Computer Engineering, Statistics or related fiel...","Computer science, Automation, GIT, Image processing, Coding, Finance, Machine learning, JIRA",https://www.naukri.com/job-listings-engineer-i-american-express-company-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-270424500068
Security Architect,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Minimum 12 year(s) of experience is required. Educational Qualification : Bachelor or c...,"event management, solution development, presales, grc, security information and event management, risk assessment, cloud security, cyber security",https://www.naukri.com/job-listings-security-architect-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-12-to-16-years-280424902307
DATA HUB Testing,PwC Service Delivery Center,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Bangalore/ Bengaluru, Mumbai (All Areas)",system analyst and UAT teams to provide them the required support Must have - Property ...,"Insurance, Data Warehouse Testing, Database Testing, Hub, Data, Warehouse, DBMS, Software testing",https://www.naukri.com/job-listings-data-hub-testing-pwc-service-delivery-center-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-131023007654
AWS Solution Architect (WFH)-PSDE IV,Rackspace Technology,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Required Bachelor s degree in Computer Science or equivalent degree . Proficient skills...,"Computer science, GIT, Linux, Networking, Configuration management, PAAS, Shell scripting, Windows",https://www.naukri.com/job-listings-aws-solution-architect-wfh-psde-iv-rackspace-technology-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-7-to-15-years-270424500709
Customer Service Analyst T2,AMERICAN EXPRESS,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Address and prioritize all . incoming customer requests . using the American Express . ...,"Outbound, Career development, Relationship building, Banking, Agile, Wellness, Customer relationship, Customer service",https://www.naukri.com/job-listings-customer-service-analyst-t2-american-express-company-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-260424501108
C Developer,Hitachi Ltd.,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelors Degree in Computer Science, MIS or equivalent professional experience . Excel...","Computer science, Telecom, C++, MIS, Debugging, Data structures, Healthcare, Application development",https://www.naukri.com/job-listings-c-developer-hitachi-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-260424500532
Business Analyst- Systematics,Capco,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","As a  Systematics Business Rules Analyst  , you will specialize in understanding th...","Analytical skills, Delivery excellence, Loans, Business Analyst, Senior Analyst, Business analysis, Management consulting, business rules",https://www.naukri.com/job-listings-business-analyst-systematics-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-11-years-260424500468
AI/ML Research Specialist,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Typically requires min 5-8 years extensive relevant experience and / or a graduate / po...,"Analytical, Artificial Intelligence, Intellectual property, Machine learning, Radio, Research, Continuous improvement, Intelligence",https://www.naukri.com/job-listings-ai-ml-research-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-260424500455
Fellowship,P. D Hinduja Hospital Medical Research Centre,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Preliminary reporting of CT/MRI scans   Involvement in day to day functioning wit...,"General surgery, Assistant Associate, Registrar, query, Radiology, Critical care, Anesthesia, Cardiology",https://www.naukri.com/job-listings-fellowship-p-d-hinduja-hospital-medical-research-centre-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-260424500401
Functional Analyst PtP,Atlas Copco,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Speaking English fluently is required . Software skills like Office are required . Educ...,"Business process, ERP, Change management, SAP, Analytical, Consulting, Test scenarios, Warehouse management",https://www.naukri.com/job-listings-functional-analyst-ptp-atlas-copco-services-s-r-o-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-260424500232
Functional Analyst master data,Atlas Copco,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Ensuring master data integrity, maintaining the processes to support data quality...","ERP, SAP, Analytical, Project planning, Data quality, data integrity, Warehouse management, Operations",https://www.naukri.com/job-listings-functional-analyst-master-data-atlas-copco-services-s-r-o-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-260424500228
CNS ECE Business Platform,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",We are looking for Full Stack Developers who will support in building mission critical ...,"Drupal, Automation, Product engineering, Analytical, MySQL, Agile, Unit testing, Python",https://www.naukri.com/job-listings-cns-ece-business-platform-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-6-years-260424500121
Service Operations Specialist IP,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Requires minimum supervisionTypically requires 12 years relevant experience and / or a ...,"Telecom, System architecture, Automation, Ethernet, LAN, Customer service, Operations, Technical support",https://www.naukri.com/job-listings-service-operations-specialist-ip-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-12-to-14-years-260424500120
AI-ML Data Engineer,Nokia,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","A background with a master s or bachelors degree in Computer Science, Data Engineering,...","NoSQL, Intellectual property, Technology leadership, Data quality, Research, Continuous improvement, IEEE, SQL",https://www.naukri.com/job-listings-ai-ml-data-engineer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-10-years-260424500119
Closer - LexLoans,Unitedlex,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Basic knowledge of finance, trade life cycle, investment banking, and derivatives....","Administration, Trade, ISMS, Fixed income derivatives, Information security, ISO 27001, Back office, Investment banking",https://www.naukri.com/job-listings-closer-lexloans-unitedlex-corporation-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-250424501892
Senior Software Engineer,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Candidate start date - 17th June . Btech, GCP certification is preferred. Development a...","github, GCP, Shell scripting, Hadoop, Agile methodology, sqoop, Teradata, Troubleshooting",https://www.naukri.com/job-listings-senior-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-250424501348
DevOps Lead,Mclaren Strategic Ventures India,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Knowledge of automation with code analysis tools and log monitoring tools. Technical to...,"Process automation, Automation, GCP, Analytical, devops, Agile, Software development life cycle, Release management",https://www.naukri.com/job-listings-devops-lead-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-10-years-250424500930
Accounts Payable Specialist,Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Participate in process improvements and system enhancement projects related to Accounts...,"Computer science, Ticketing, US GAAP, Excel, Financial reporting, Financial accounting, Invoice processing, Corporate credit",https://www.naukri.com/job-listings-accounts-payable-specialist-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-250424500285
"Senior Software Engineer - Backend, Data Platform",Coursera,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",You must be comfortable working in a fast-moving team environment (we deploy many times...,"Computer science, Backend, Product engineering, Service level, Machine learning, SCALA, Analytics, Python",https://www.naukri.com/job-listings-senior-software-engineer-backend-data-platform-coursera-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-250424500284
Walk Me Developer,Capco,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience in design, development, and deployment of WalkMe solutions Expertise in CSS,...","jQuery, Front end, Wealth management, TDD, Analytical, Agile, Scrum, Investment banking",https://www.naukri.com/job-listings-walk-me-developer-capco-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-8-years-240424500322
Software Engineer HTHD,Ford,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","1) Candidate should know how to design and build components, templates, dialogs, and wo...","Front end, adobe analytics, Web technologies, Web services, Architecture, Project leadership, JSP, Javascript",https://www.naukri.com/job-listings-software-engineer-hthd-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-230424500847
Frontend Software Engineer - Managed Web Platform - UI Libraries,Mclaren Strategic Ventures India,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. 5+ years of hands-on experience with some of the latest technologies to build rich we...,"CSS, Web technologies, Front end, SSR, Analytical, Javascript, Management, SDLC",https://www.naukri.com/job-listings-frontend-software-engineer-managed-web-platform-ui-libraries-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-220424502036
Assistant Manager-Finance (Indirect Tax),McCain,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",We are looking for a qualified CA with 3-5 yrs of work experience as Asst Manag...,"Assistant Manager Finance, SAP, External audit, Manager Indirect Taxation, Sales tax, Litigation, Reconciliation, VAT",https://www.naukri.com/job-listings-assistant-manager-finance-indirect-tax-mccain-foods-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-5-years-220424500889
MICU Nurse,Fortis,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Maintain licensure and certifications required for MICU nursing practice,"opd, intensive care, administration, gnm, critical care, nursing, medication administration, medicine",https://www.naukri.com/job-listings-micu-nurse-fortis-healthcare-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-190424500827
"Manager, Technical Consulting",Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",- . Salesforce.com . Certification Required Degree or equivalent relevant experience re...,"Production support, UML, XML, Project management, Javascript, Flex, Presales, J2Ee",https://www.naukri.com/job-listings-manager-technical-consulting-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-10-to-12-years-260424501255
Salesforce Technical Consultant / Senior Technical Consultant,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",BA / BS degree or foreign equivalent . 3-5 years of relevant experience . Strong proble...,"Data modeling, Testing tools, Cloud, Back office, Middleware, Release management, Apex, SQL",https://www.naukri.com/job-listings-salesforce-technical-consultant-senior-technical-consultant-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-3-to-5-years-240424500054
QA Manager,Salesforce,Not disclosed,"Mumbai, Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",Flexibility to work in staggered shifts based on customer engagement. * Take up and del...,"Product management, Data migration, GIT, Project management, Analytical, Consulting, Selenium, Customer engagement",https://www.naukri.com/job-listings-qa-manager-salesforce-mumbai-hyderabad-pune-gurugram-jaipur-bengaluru-9-to-13-years-230424500061
Sap Hcm Payroll Consultant,Tata Consultancy Services (TCS),Not disclosed,"Pune, Bangalore Rural, Mumbai (All Areas)","Carry out configuration of HCM modules OM, PA, Time, Payroll to meet end user requireme...","Payroll, SAP HCM, sap payroll, SAP, Consulting, HCM",https://www.naukri.com/job-listings-sap-hcm-payroll-consultant-tata-consultancy-services-tcs-pune-bangalore-rural-mumbai-all-areas-5-to-7-years-260424007016
SAP CO_Hub1 Professional,Capgemini,Not disclosed,"Mumbai, Hyderabad, Pune",Required Qualification CA / ICWA/ MBA (Finance) degree would be preferredCertification ...,"SAP CO, CATS, S/4 HANA, SAP implementation, CO data migration, SAP Cost Element Accounting, SAP- HCM, SAP PS",https://www.naukri.com/job-listings-sap-co-hub1-professional-capgemini-technology-services-india-limited-mumbai-hyderabad-pune-12-to-15-years-250424908428
Quality Consultant,Capgemini,Not disclosed,"Mumbai, Pune, Bengaluru",Must have implementation experience of Quality frameworks and Delivery Excellence metho...,"Quality frameworks, process training, lean six sigma, SAFe, Lean & Six Sigma, ITIL, quality consultant, DevOps",https://www.naukri.com/job-listings-quality-consultant-capgemini-technology-services-india-limited-mumbai-pune-bengaluru-5-to-9-years-240424908833
Assistant Vice President - Operational Risk - Bangalore/ Pune,Deutsche Bank,Not disclosed,"Mumbai, Pune, Bangalore Rural","Review and approve Operational Incidents / Problems & Events, ensuring timeliness and a...","Operational Risk, Risk Mitigation, Control Design, Operational Risk Management, Rcsa, Control Testing, Risk Compliance, Risk Control",https://www.naukri.com/job-listings-assistant-vice-president-operational-risk-bangalore-pune-deutsche-bank-mumbai-pune-bangalore-rural-8-to-10-years-240424011933
Opening For Java NodeJS Developer @ Tech Mahindra Ltd.,Tech Mahindra,Not disclosed,"Mumbai, Pune, Bengaluru","Location : - Pune, Bangalore, Mumbai, Chennai, Hyderabad, Noida. Work Timings : - Shift...","Java, Agile Methodology, Code reviews, Node JS framework, Java Back End, Node JS, MongoDB, Band-u4",https://www.naukri.com/job-listings-opening-for-java-nodejs-developer-tech-mahindra-ltd-tech-mahindra-mumbai-pune-bengaluru-7-to-12-years-240424010950
GN-Industrial- SAP Platforms - Consultant,Accenture,Not disclosed,"Mumbai, Pune, Bengaluru",Be responsible for integration with different ERP Solutions including SAP and create pr...,"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation",https://www.naukri.com/job-listings-gn-industrial-sap-platforms-consultant-accenture-solutions-pvt-ltd-mumbai-pune-bengaluru-2-to-7-years-230424905533
Aws Data Engineer,Tata Consultancy Services (TCS),Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)",Greeting from TCS Walking drive (AWS Data Engineer -Pyspark)Experience Range- 4 to 8 y...,"Pyspark, EMR, Aws Glue, AWS, Data, Glue",https://www.naukri.com/job-listings-aws-data-engineer-tata-consultancy-services-tcs-pune-bengaluru-mumbai-all-areas-4-to-8-years-230424004941
GN - Strategy - MC - T&O â€“ Instructional Design SAP - Consultant,Accenture,Not disclosed,"Mumbai, Pune, Gurugram",Instructional DesignConsultant - SAPJoin our team in Talent & Organization and find end...,"sap, sap knowledge, successfactors, sap hana, agile methodology, design documents, project management, storyboarding",https://www.naukri.com/job-listings-gn-strategy-mc-t-o-instructional-design-sap-consultant-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-6-to-10-years-250424905599
GN-Industrial- SAP Platforms - Consultant,Accenture,Not disclosed,"Mumbai, Pune, Gurugram",Be responsible for integration with different ERP Solutions including SAP and create pr...,"sd, project management, sap, ibp, ewm, sap sd, logistics, sap implementation",https://www.naukri.com/job-listings-gn-industrial-sap-platforms-consultant-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-2-to-7-years-220424908403
GN - Strategy - MC - T&O - Change Management - Senior Manager,Accenture,Not disclosed,"Mumbai, Pune, Gurugram","Qualifications . MBA / Masters degree Experience in driving behaviour change, change ad...","sfdc, change management, sap s hana, arabic, french, functional, project management, sap",https://www.naukri.com/job-listings-gn-strategy-mc-t-o-change-management-senior-manager-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-12-to-15-years-220424908342
Wakefit is hiring For freshers (Retail Store) - PAN India,Wakefit Innovations,Not disclosed,"Pune, Ahmedabad, Mumbai (All Areas)",Wakefit is hiring for freshers for retail stores on PAN IndiaMinimum Graduation Excelle...,"Good Comm Skills, Computer Skills, Comm Skills, Computer, Hiring, Stores, Comm, Retail outlets",https://www.naukri.com/job-listings-wakefit-is-hiring-for-freshers-retail-store-pan-india-wakefit-innovations-pune-ahmedabad-mumbai-all-areas-0-to-0-years-230424010152
Oracle Fusion SCM Functional Lead,Oracle,18-33 Lacs PA (Including Variable: 15.0%),"Hybrid - Kolkata, Mumbai, Maharashtra, Gandhinagar, Gujarat, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, Oracle, Functional, Fusion, SCM, Oracle Fusion SCM, Oracle Fusion",https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-maharashtra-gandhinagar-gujarat-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-8-to-13-years-270723006137
Oracle Fusion SCM Functional Lead,Oracle,18-33 Lacs PA,"Hybrid - Kolkata, Mumbai, Maharashtra, Gandhinagar, Gujarat, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Bachelor of Engineering or master s degree in business administration (MBA) with 5 to 1...,"Fusion Scm, Scm Cloud, Cloud, Fusion, SCM, Oracle Fusion, Oracle, Oracle Fusion SCM",https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-maharashtra-gandhinagar-gujarat-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-8-to-13-years-090823006608
Sr. Delivery Consultant  - Infra,IBM,Not disclosed,"Mumbai, Hyderabad, Bengaluru","Software Developers at IBM are the backbone of our strategic initiatives to design, cod...","golang, dbms, linux, python, troubleshooting, kubernetes, curl, openldap",https://www.naukri.com/job-listings-sr-delivery-consultant-infra-ibm-india-pvt-limited-mumbai-hyderabad-bengaluru-18-to-22-years-290424900857
IBM TM1/PA Architect,IBM,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Required Technical and Professional Expertise . Should have knowledge on Data warehousi...,"mdx, data warehousing, plsql, sql, tm, physical design, python, software development",https://www.naukri.com/job-listings-ibm-tm1-pa-architect-ibm-india-pvt-limited-mumbai-hyderabad-bengaluru-3-to-7-years-280424902727
Infra Engineer,IBM,Not disclosed,"Mumbai, Hyderabad, Bengaluru","Software Developers at IBM are the backbone of our strategic initiatives to design, cod...","golang, java, gcp, linux, troubleshooting, kubernetes, curl, openldap",https://www.naukri.com/job-listings-infra-engineer-ibm-india-pvt-limited-mumbai-hyderabad-bengaluru-2-to-5-years-280424902670
Application Lead,Accenture,Not disclosed,"Mumbai, Hyderabad, Bengaluru","Must have skills : SAP C4C SDK and PDI. Location- Bengaluru, Hyderabad, Mumbai, Pune. G...","sap c4c sdk, sap, pdi, business objects, debugging, functional specifications, adobe forms, sap sd",https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-mumbai-hyderabad-bengaluru-12-to-16-years-280424901620
Sr Delivery Consultant - DB2,IBM,Not disclosed,"Mumbai, Hyderabad, Bengaluru","Software Developers at IBM are the backbone of our strategic initiatives to design, cod...","sql tuning, disaster recovery, db dba, database security, database backup, continuous integration, kubernetes, hipaa",https://www.naukri.com/job-listings-sr-delivery-consultant-db2-ibm-india-pvt-limited-mumbai-hyderabad-bengaluru-18-to-22-years-270424906361
"Expert Manager, Machine Learning Engineer",Bain Company India Pvt. Ltd.,Not disclosed,"Mumbai, New Delhi, Bengaluru","Work with general consulting teams to understand ML aspects of business problems, a...","Computer science, C++, Prototype, GCP, Consulting, Machine learning, Agile, Data structures",https://www.naukri.com/job-listings-expert-manager-machine-learning-engineer-bain-company-india-pvt-ltd-mumbai-new-delhi-bengaluru-3-to-7-years-270424500119
Oracle Supply Chain Management-2-10Y-PWC SDC,PwC Service Delivery Center,Not disclosed,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",Experience: 2-10 Y . Notice Period: Immediate- 90 Days . Education - BTech / BE/MTech /...,"Ascp, Oracle SCM, Oracle Manufacturing, Value chain Planning, VCP, Supply, Vcpp, SCM",https://www.naukri.com/job-listings-oracle-supply-chain-management-2-10y-pwc-sdc-pwc-service-delivery-center-hyderabad-bengaluru-mumbai-all-areas-4-to-9-years-290424001690
Student success specialist || Only Mother's || Work from Home,BYJUS,3-3.5 Lacs PA,"Kolkata, Bengaluru, Mumbai (All Areas)",Role & responsibilities Description: You will start your journey at BYJU as a Student S...,"Cold Calling, Mentoring, Outbound Calling, Cold, Outbound, Calling, S",https://www.naukri.com/job-listings-student-success-specialist-only-mother-s-work-from-home-think-and-learn-private-limited-kolkata-bengaluru-mumbai-all-areas-0-to-4-years-220424903835
Clinical Data Specialist,IQVIA,Not disclosed,"Hybrid - Kochi, Bengaluru, Mumbai (All Areas)","Develop and maintain good communications and working relationships with CDM team."" Bach...","Clinical Data Management, Data, Management, Data management, Clinical Data, Clinical",https://www.naukri.com/job-listings-clinical-data-specialist-iqvia-kochi-bengaluru-mumbai-all-areas-1-to-6-years-030424008447
Chartered Accountants- Statutory Audit (BFSI/ Manufacturing) - CA Firm,"Krishan Lal Swami And Associates, Executive Search",Not disclosed,"Mumbai Suburban, Thane, Mumbai (All Areas)","Gender: Either Gender - Female, or Male. Qualification: A Qualified Chartered Accountan...","Statutory Audit, BFSI Audit, Bank Audit, Manufacturing Audit, Ind As, Limited Review, Indian Gaap, Company Audit",https://www.naukri.com/job-listings-chartered-accountants-statutory-audit-bfsi-manufacturing-ca-firm-krishan-lal-swami-and-associates-executive-search-mumbai-suburban-thane-mumbai-all-areas-1-to-6-years-020324007648
